BFLOG : ***** Blue Fang Application Logfile *****
BFLOG : ***** Log Severity = 9  Delta1 = 0
E:\Zoo\src\bf\bfworldmgr.cpp(237) : NOTE  : BFWorldMgr::load -- Loading 410 entities.
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 1 guests have entered this month
E:\Zoo\src\zt\ztanimal.cpp(668) : ERROR : Couldn't Initialize Ambient WATER Animations for animals type afrbuf
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 2 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 1 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 3 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 2 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 4 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 3 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 5 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 4 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 6 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 5 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 6 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 7 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 7 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 8 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 8 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 9 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 9 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
